2023-01-09 11:39:36.512 [DEBU] {6462c442e486381713cb9b7a05b46e7c} [ 14 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 11:39:36.529 [DEBU] {c9739e43e486381714cb9b7a59346dd6} [ 16 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:45:22.251 [DEBU] {dd08e6f37a8a381712bdb715d3a34652} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:45:22.254 [DEBU] {de2811f47a8a381713bdb7154810146e} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:45:22.255 [DEBU] {39092af47a8a381714bdb715ffcf590f} [  0 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 12:45:22.256 [DEBU] {50313cf47a8a381715bdb71585f1faf3} [  0 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 12:45:47.339 [DEBU] {1f85f6ca808a38170f9dca59f5986f85} [  6 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 12:45:47.340 [DEBU] {7d4054cb808a3817109dca59e4bd761e} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:45:47.343 [DEBU] {348c87cb808a3817119dca597b701250} [  0 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:45:47.349 [DEBU] {a024b0cb808a3817129dca599b56c749} [  4 ms] [default] [shop] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-01-09 12:45:47.350 [DEBU] {8962e7cb808a3817139dca59ea1dd2e7} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 12:45:47.354 [DEBU] {c758ffcb808a3817149dca59a60f35b4} [  3 ms] [default] [shop] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-01-09 12:45:47.355 [DEBU] {d1c537cc808a3817159dca591d025622} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 21:35:56.806 [DEBU] {6bc4fd026fa738177cd3c17c6af7be6e} [  5 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 21:35:56.808 [DEBU] {03d557036fa738177dd3c17c5ea9be9e} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 21:35:56.814 [DEBU] {518cac036fa738177ed3c17cf6ecb601} [  2 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 21:35:56.818 [DEBU] {91f4c7036fa738177fd3c17c26baaac4} [  4 ms] [default] [shop] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-01-09 21:35:56.819 [DEBU] {ac9702046fa7381780d3c17c7150be24} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 21:35:56.823 [DEBU] {b4bd17046fa7381781d3c17cb564fc0e} [  3 ms] [default] [shop] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-01-09 21:35:56.824 [DEBU] {d9ab56046fa7381782d3c17c5dd62827} [  0 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 21:41:11.384 [DEBU] {3b2c6d41b8a7381784d3c17c902c19c6} [  3 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 21:41:11.387 [DEBU] {d846b441b8a7381785d3c17c30d65e81} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 21:41:11.389 [DEBU] {0b5ad141b8a7381786d3c17c3446d0d6} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 21:41:11.390 [DEBU] {8e11ec41b8a7381787d3c17c92306f38} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
